num_of_iterations     iterations_per_printout_to_file   dt        num_of_planets  constant_sun(0 = no, 1 = yes)
1000000                  10                             0.0005     13             0

planet_name     x                       y                         z                       vx                      vy                      vz                       mass
mercury        -2.510627085491971E-01   -3.771517529379190E-01    -8.461273068775295E-03  6.525799826611188E+00 -5.129345520445375E+00 -1.018065438555592E+00   0.16601e-6
venus           7.224510145603787E-01   6.780438363542660E-02     -4.093887662142203E-02  -6.496283110946662E-01 7.328964950970402E+00 1.379288904600992E-01    2.4478383e-6
earth           9.630912534883637E-01   2.724617534131148E-01     -9.152184033608008E-05  -1.773855865321826E+00 6.038351945259381E+00 -2.768103454026892E-04   3.00348959632e-6
mars            1.365164652982005E+00   -2.229279523607630E-01    -3.839737162585533E-02  1.041996720203739E+00 5.477642244090791E+00 8.919233667765285E-02    0.3227151e-6
jupiter        -2.692744551862506E+00   -4.642033572081047E+00    7.948551262202097E-02   2.351156725143731E+00 -1.251959406065435E+00 -4.741317946372332E-02   954.79194e-6
saturn          1.523127702596290E+00   -9.939372366809927E+00    1.121909975097986E-01   1.902194493303609E+00 3.022442370993758E-01 -8.103288149755528E-02   285.8860e-6
uranus          1.718594420836535E+01   9.981580044699990E+00     -1.855746190502534E-01  -7.320525335335254E-01 1.175261559878326E+00 1.383290923414480E-02    43.66244e-6
neptune         2.891635064404575E+01   -7.737796050559773E+00    -5.070608066418701E-01  2.889011330615001E-01 1.114520468752174E+00 -2.959736251808995E-02   51.51389e-6
pluto           1.162882788558604E+01   -3.157724963213267E+01    1.520136269309149E-02   1.098050082518307E+00 1.505916078467721E-01 -3.362759578053204E-01   0.00658295071e-6
titan           1.519337097892106E+00   -9.932639116476873E+00    1.090974666357856E-01   8.694406482378756E-01 -1.050373708599339E-01 2.315381551174106E-01    0.067754982e-6
europa         -2.688710969063951E+00   -4.639987392033722E+00    7.965172613510521E-02   1.045363530844639E+00 1.305920115433307E+00 3.449603636487470E-02    0.02415623608e-6
moon_luna       9.606809787088508E-01   2.718917103025146E-01     1.140333322908086E-04   -1.730146297647546E+00 5.818849956731373E+00 6.979806484166858E-03    0.0123000383e-6
sun            -1.095827735597032E-04   7.235856745277059E-03     -7.362838604549695E-05  -2.765993739674115E-03 9.626985683232432E-04 6.912837738878420E-05    1.0
