                                  0                                  0
              4.651592330547948e-16                               0.02
              1.708213156982115e-15                               0.04
              5.732847789532936e-15                               0.06
              1.880381680775597e-14                               0.08
              6.058534490945595e-14                                0.1
              1.917868184168206e-13                               0.12
               5.96357840791384e-13                               0.14
              1.821054934703181e-12                               0.16
              5.459523930352119e-12                               0.18
               1.60652565337073e-11                                0.2
              4.638795900737455e-11                               0.22
              1.313981236719606e-10                               0.24
              3.650220127675974e-10                               0.26
               9.94197831523158e-10                               0.28
              2.654156780036204e-09                                0.3
              6.943123075303135e-09                               0.32
              1.779224410204848e-08                               0.34
              4.465045561934337e-08                               0.36
              1.097010969081643e-07                               0.38
              2.637883844054088e-07                                0.4
              6.206247300636271e-07                               0.42
              1.428235984379926e-06                               0.44
              3.213935592105064e-06                               0.46
              7.069845948210285e-06                               0.48
              1.519807311720165e-05                                0.5
              3.191865623137081e-05                               0.52
               6.54714489943677e-05                               0.54
              0.0001311255087101128                 0.5600000000000001
              0.0002563483335004525                               0.58
              0.0004890650118764445                                0.6
              0.0009103024268631275                               0.62
               0.001652664557708323                               0.64
               0.002925960656032938                               0.66
               0.005050696211586689                               0.68
               0.008498812536631232                 0.7000000000000001
                0.01393886845704684                               0.72
                0.02227982971878679                               0.74
                0.03470412424795576                               0.76
                0.05267740905107575                               0.78
                0.07792075284395468                                0.8
                 0.1123320420821595                 0.8200000000000001
                 0.1578485307106658                               0.84
                 0.2162519753589517                               0.86
                 0.2889308405101616                               0.88
                 0.3766282052830133                                0.9
                 0.4792155800253707                               0.92
                  0.595537790252182                 0.9400000000000001
                 0.7233692880432602                               0.96
                  0.859506864478392                               0.98
                                  1                                  1
